Key,Duplicate,Name,Ticker,Cik,Cusip,Exchange,IsDelisted,Category,Sector,Industry,Sic,SicSector,SicIndustry,FamaSector,FamaIndustry,Currency,Location,Id
37833100,FALSE,APPLE INC,AAPL,320193,37833100,NASDAQ,FALSE,Domestic Common Stock,Technology,Consumer Electronics,3571,Manufacturing,Electronic Computers,,Computers,USD,California; U.S.A,a43c3ffca9b4a0be9cee4fa1120832a2
594918104,FALSE,MICROSOFT CORP,MSFT,789019,594918104,NASDAQ,FALSE,Domestic Common Stock,Technology,Software - Infrastructure,7372,Services,Services-Prepackaged Software,,Business Services,USD,Washington; U.S.A,0f08a6a6742dc4148badfef6977406cf
23135106,FALSE,AMAZON COM INC,AMZN,1018724,23135106,NASDAQ,FALSE,Domestic Common Stock,Consumer Cyclical,Internet Retail,5961,Retail Trade,Retail-Catalog & Mail-Order Houses,,Retail,USD,Washington; U.S.A,2d771e9bff7a710c52906bf5373c73bf
478160104,FALSE,JOHNSON & JOHNSON,JNJ,200406,478160104,NYSE,FALSE,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,7ab0ba181c81168cb6c487531910617d
78462F103,FALSE,SPDR S&P 500 ETF TRUST,SPY,884394,78462F103,NYSEARCA,FALSE,ETF,,,,,,,,USD,New York; U.S.A,beee0a9d489b280c1985ced6483aede0
46625H100,FALSE,JPMORGAN CHASE & CO,JPM,19617,46625H100 16161A108,NYSE,FALSE,Domestic Common Stock Primary Class,Financial Services,Banks - Diversified,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,New York; U.S.A,9b2b5dd6bb56471237e8d985863c5a5d
30231G102,FALSE,EXXON MOBIL CORP,XOM,34088,30231G102 302290101,NYSE,FALSE,Domestic Common Stock,Energy,Oil & Gas Integrated,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,Texas; U.S.A,f035809b9b79ce0c0a792da31c6882a9
742718109,FALSE,PROCTER & GAMBLE CO,PG,80424,742718109,NYSE,FALSE,Domestic Common Stock,Consumer Defensive,Household & Personal Products,2840,Manufacturing,Soap Detergents Cleang Preparations Perfumes Cosmetics,,Consumer Goods,USD,Ohio; U.S.A,ee542ef6b33f3ba7370eb35315b1b464
30303M102,FALSE,META PLATFORMS INC,META,1326801,30303M102,NASDAQ,FALSE,Domestic Common Stock,Communication Services,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,California; U.S.A,f0092f90a39a6015d08f1bcf9447a466
254687106,FALSE,WALT DISNEY CO,DIS,1744489,254687106,NYSE,FALSE,Domestic Common Stock Primary Class,Communication Services,Entertainment,7990,Services,Services-Miscellaneous Amusement & Recreation,,Entertainment,USD,California; U.S.A,2b96ca2b662c6e64c62919d53fa86a1b
717081103,FALSE,PFIZER INC,PFE,78003,717081103,NYSE,FALSE,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New York; U.S.A,8b3ae3c3bcbe788289e432320363f6bb
166764100,FALSE,CHEVRON CORP,CVX,93410,166764100 166751107,NYSE,FALSE,Domestic Common Stock,Energy,Oil & Gas Integrated,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,USD,California; U.S.A,5aa6fb337912535a4b7e4aa467257420
17275R102,FALSE,CISCO SYSTEMS INC,CSCO,858877,17275R102,NASDAQ,FALSE,Domestic Common Stock,Technology,Communication Equipment,3576,Manufacturing,Computer Communications Equipment,,Computers,USD,California; U.S.A,f1d965fb3754a739a57749cd8d021351
713448108,FALSE,PEPSICO INC,PEP,77476,713448108,NASDAQ,FALSE,Domestic Common Stock,Consumer Defensive,Beverages - Non-Alcoholic,2080,Manufacturing,Beverages,,Beer & Liquor,USD,New York; U.S.A,98c614018e3978acfd46b4011933b018
92343V104,FALSE,VERIZON COMMUNICATIONS INC,VZ,732712,92343V104 077853109,NYSE,FALSE,Domestic Common Stock Primary Class,Communication Services,Telecom Services,4813,Transportation Communications Electric Gas And Sanitary Service,Telephone Communications (No Radiotelephone),,Communication,USD,New York; U.S.A,1d29a4c5ca9416a0a04f4d84663a1c7a
458140100,FALSE,INTEL CORP,INTC,50863,458140100,NASDAQ,FALSE,Domestic Common Stock,Technology,Semiconductors,3674,Manufacturing,Semiconductors & Related Devices,,Electronic Equipment,USD,California; U.S.A,d84c156ce9dc3a3a1c10a4a482934620
437076102,FALSE,HOME DEPOT INC,HD,354950,437076102,NYSE,FALSE,Domestic Common Stock,Consumer Cyclical,Home Improvement Retail,5211,Retail Trade,Retail-Lumber & Other Building Materials Dealers,,Retail,USD,Georgia; U.S.A,78b9db29e6fba1ecbef2571bb4550fa0
58933Y105,FALSE,MERCK & CO INC,MRK,310158,58933Y105 589331107,NYSE,FALSE,Domestic Common Stock,Healthcare,Drug Manufacturers - General,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,USD,New Jersey; U.S.A,feb95dbf751ec0c9f0e2c586ea735822
