Date,Technology,Healthcare,Financials,ConsumerCyclical,ConsumerDefensive,Energy,Utilities,RealEstate,Materials,Industrials,CommunicationServices
07/10/2013,31415,0,0,0,0,0,0,0,0,38381,43414
07/11/2013,4385329,51614,-500931,265885,0,-4716685,0,0,482900,0,0
07/12/2013,614854,5631944,228822,1075066,6158381,180107,0,-171175,0,826621,0
07/18/2013,-789264,-610330,-319860,-143612,-131984,-328928,0,0,0,-674940,-289417
07/24/2013,230226,193275,0,-484944,-23701,0,0,0,177761,63662,-54982
07/25/2013,-128565,-508661,-230095,-134232,392190,-30329,0,-58980,30680,-97614,-226034
07/26/2013,0,0,0,0,0,27330,0,0,0,0,0
07/31/2013,0,0,30746,0,0,0,0,0,0,0,0
08/02/2013,2577976,2623120,2982484,712396,1534647,1041750,0,0,396235,1463843,650425
08/06/2013,1332986,84482,0,330728,0,0,0,0,0,119828,0
08/08/2013,2031249,-39110,287779,333780,-344056,65995,0,0,0,-190917,0
08/09/2013,-4687,-31739,43800,32495,141620,53787,0,0,0,-155085,0
08/12/2013,-3225,146513,0,126878,139127,0,0,-137626,0,0,-36384
08/13/2013,-451445,-781202,-98473,0,-137490,-338243,-200791,-137599,-617572,0,80850
08/14/2013,23341409,19791353,13251282,12410325,3754586,13551294,3668831,7194689,5539066,3632383,24228749
08/15/2013,156243,0,0,-188468,170922,4393,0,0,-98944,0,0
08/19/2013,53223,0,0,0,0,0,77141,0,0,0,0
08/23/2013,0,0,0,0,0,453195,0,0,0,0,0
08/26/2013,0,0,0,0,-4220679,0,0,0,0,0,0
09/04/2013,1851685,-1958936,46668,-7949,842647,-1176584,312892,454319,-422480,-356578,147742
10/01/2013,345661,541312,1786358,-167736,-609162,61160,0,0,87700,167888,-266849
10/02/2013,-2573164,-2556016,-2143518,-510507,-427680,-120764,0,-329643,-68001,-926373,-842305
10/03/2013,-1046113,-339312,-133224,-60261,-170331,-122907,0,0,-51500,-623124,-273131
10/04/2013,-2014564,-1197520,-798053,-810846,-975345,-455324,-297135,2492630,-260491,-818491,-572225
10/07/2013,-547975,-1132248,-211256,-84061,-103438,195456,-54863,0,0,-955383,-16184
10/08/2013,-3405685,-222407,-288484,214327,455396,448376,-467222,175565,-79067,-3705115,186244
10/09/2013,-10218480,-4601977,-6458680,-4074888,-5553726,787225,-660684,301072,-5610061,-145099,-6765393
10/10/2013,14284614,295703,13245885,14985175,32955,92515552,23861533,25015,59889408,30883029,62408
10/11/2013,-8759263,169371,180992,-7126,-56237,95338,0,-34657,63685,346438,240642
10/15/2013,23728981,20452869,19896899,8401571,15812577,13697885,6727866,3241371,5488199,18723875,12357463
10/16/2013,-1485418,65762,-466932,372352,579662,-2656407,-1631812,-466234,-119125,-1831676,1478672
10/17/2013,27381381,-7468636,20658441,4313578,10380539,4620039,2726695,-415121,745438,4732478,55705081
10/18/2013,-367948,3710428,5727121,6969385,-8542013,-674177,-1054774,460789,687399,2769653,-15061476
10/21/2013,-4168585,-2617644,-1184899,-2761965,-2881594,-2626771,323272,-544700,-1644703,-2226652,-2052395
10/22/2013,-5257131,-1412479,6458405,-7241068,-935539,2670599,798720,-378145,1332623,-2128868,1434441
10/23/2013,-6227704,1003794,-5253937,-2652177,-977613,-667239,-66186,-58389,-634053,-56135,1631186
10/24/2013,-3960635,-688620,-2797197,-906740,-4137455,-1774576,279553,187677,-434717,-1887557,-2393370
10/25/2013,-2837350,-2461123,270087,265771,-1550159,-225900,149351,438313,-154929,476052,596668
10/28/2013,-5266145,-2274894,-15289328,-1100510,-1158463,-1760351,350379,-251004,-623820,1669362,-163963
10/29/2013,774078,-10028441,26143880,14782745,-304457,-12184226,7222235,-14566850,164606,-10443448,363178
10/30/2013,-12072543,4477933,9347124,-3768555,-764353,10233491,2239165,6162873,1247446,-3015231,12880860
10/31/2013,37664007,14711539,-7961694,14234829,-4900576,14994334,20818218,2548865,24256087,5042177,19901649
11/01/2013,-1980971,-6169596,-3687595,-2270569,-11698853,-15004971,-3723562,3248993,-13983011,-3024091,-62198447
11/04/2013,-3586834,-4818136,-3604368,-36282,-3559045,-4356572,-148059,686584,-1184482,-3765002,2593481
11/05/2013,-10157732,-25826269,-1527038,141597,-3148790,-1260228,668625,831916,1267560,5374142,-5172988
11/06/2013,23267503,7504299,16746672,10171046,5243477,15291532,653187,8103532,2857620,3491136,3586308
11/07/2013,41977754,50725506,61004077,35598190,33580705,44910273,32289960,20079433,18321955,49928999,15738715
11/08/2013,27839082,850272,31784931,17959806,2489427,19920866,6855950,169196,-247167,6177095,-7399034
11/12/2013,-159713349,-145893325,-30374843,-6627530,-114334859,-98471575,-8354610,-9324762,-1087030,-103197608,-38415037
11/13/2013,-30104933,-138446031,-558660,34259995,-18890481,1246971,-5336648,-6962619,4974065,-4075059,-29537432
11/14/2013,-102733819,-109351834,16086513,-32470530,-92029013,77234191,86428260,10573733,-47930042,-114736840,57309605
11/15/2013,-10659584,-14851576,-15801461,-7162408,-21687674,-8121316,-2793103,1880901,12739872,-8801499,-5645584
11/18/2013,1771799,642155,2025990,795782,1626249,1043837,732378,185646,-547357,803984,1494700
11/19/2013,92884,45193,-1130137,110552,-394412,156610,0,0,0,146941,140326
11/20/2013,88792,-354120,-305300,-23930,109880,-45100,115160,-50500,-436300,-193850,0
11/21/2013,0,-305246,0,0,-134850,0,0,0,0,0,0
11/22/2013,-801348,241037,55600,-36594,-129900,-27000,-57300,0,135200,292500,-266000
11/25/2013,-56470,-96941,-412783,-147320,-102956,-57305,430100,0,0,417694,-311250
11/26/2013,-2251425,1955746,-51868,50389,-765297,1176584,-312892,-454319,332540,323848,-86542
11/27/2013,-388713,135707,-109358,-361600,-188582,128520,0,0,185058,-316387,-160238
12/03/2013,0,0,0,0,0,566662,0,0,0,0,0
12/09/2013,2548348813,3317394621,2883615488,1534335387,1549551477,2465909615,152821772,81218276,754769211,2185668128,1052330820
12/16/2013,0,-727460,0,0,0,0,0,0,0,0,0
12/18/2013,761794,228078,241501,-21071,186714,-277577,-60170,60550,-47500,-552801,187900
12/24/2013,-72850,0,38574,0,0,0,0,322355,60958,0,0
01/02/2014,31525,32600,83350,77770,0,0,0,0,0,0,0
01/03/2014,-1774557,-1327125,698248,-91269,249981,-34629,0,0,235717,-2282485,-1208424
01/06/2014,-242484,-183722,47136,118095,84210,1425192,0,0,43339,168786,-539382
01/07/2014,-1765281,-2504318,-4457166,-394688,452800,1282357,0,-84041,84876,-273544,19230
01/08/2014,32868811,16393015,36462358,13189520,14050414,3680185,9172510,771948,-4772250,28030569,8369794
01/09/2014,8413,1411169,1353802,-456085,-32869,-58330,0,33888,0,492069,343940
01/10/2014,784821,998128,-161672,-23723,317860,-241675,98080,0,-32143,442380,662084
01/13/2014,-2445040,962908,179833,201900,28092,165233,136160,-139921,-82735,833344,2115405
01/14/2014,-19396428,95181,-151803,156761,-4004922,-1408398,340188,-1054293,-80277,507814,819428
01/15/2014,-754669,-1647609,189186,-693661,-1179670,-193747,679079,-92745,-540722,-1872215,-1392200
01/16/2014,2082352,-455873,1510797,-1610741,9380,-2924995,17464,180899,-207904,-912308,9142823
01/17/2014,2431309,-563576,-807622,530847,347364,2164979,-89888,-704699,518694,2847468,66307
01/21/2014,-15728627,-150074,-11474883,-13015166,62782,-87318964,-22537670,1396221,-59238700,-26835299,5023878
01/22/2014,-5031714,-4510992,-1069974,-57808,-3174476,-2858607,-5691855,6269002,-824256,3035795,-4445556
01/23/2014,-3136886,-1401153,-8232498,2215842,986649,-4779220,9332647,428805,-282118,-3320409,192784
01/24/2014,379310,1089682,-11824,301791,-294983,-2049,350936,-377531,345199,697327,-1954002
01/27/2014,-2133411,-1164119,-124836,1005555,-578968,652437,-323731,-440271,-213179,-2677423,-3560971
01/28/2014,-2814289,-1600508,-507713,954011,161479,280043,-411668,-1961320,-2090789,441964,-1598666
01/29/2014,-1840406,-7377948,-15323389,7696004,2210821,-7140759,831383,-2550109,2592719,6749626,-46979834
01/30/2014,-1693815,-3149559,-5241210,-3940398,-3011444,-8457592,1520379,-572016,-1714693,-1246483,-4009908
01/31/2014,340029,-6066061,-7009566,6825253,8207697,3239772,-1026498,4599601,2072195,7502330,-10264126
02/03/2014,-1693006,-4792481,2705917,631204,2823674,1634077,12984593,82544,-3049069,-3132560,1321085
02/04/2014,13136831,7630177,1370908,13157431,705630,7012176,5962104,240112,3294674,-4138368,8424021
02/05/2014,-2287936,-7916469,2744225,6782116,-1333122,-2904879,7070398,-1007920,-4592581,-4591341,-2924068
02/06/2014,-15359600,4473719,-18730284,-62228471,-15825130,-25087623,-4371539,-42198437,-8080948,-5342732,-1356730
02/07/2014,4911087,-9747200,2671398,129146806,-3064740,-867251,491498,1250980,13192176,7234228,-10242532
02/10/2014,-8068214,-23913013,-6019749,898808,-2743235,-16757056,15322340,6358844,-13023350,2912451,12773789
02/11/2014,24664039,-194047,-11801996,40727171,18659801,24845658,-11367732,14325711,5772731,5507430,22191967
02/12/2014,-4771747,-18741383,-41220726,87762369,1782161,29836506,37412808,29404900,13004151,-33538469,58656688
02/13/2014,-18806750,-44907688,12234509,9134470,-7205104,128695568,-13305207,-3677344,7062287,38180472,50853041
02/14/2014,-2772271223,-3443741203,-2939343438,-1501163484,-1612012997,-2565501014,-122867798,-73440095,-779754049,-2257297515,-1037916776
02/18/2014,13437600,29405235,63348772,87613180,16767238,48901472,773312,4298317,2343872,23765590,2198496
02/19/2014,-2247483,-2275352,-3063113,-121437,-1693919,-1387965,-692936,-185489,-409433,-1616234,-1694698
02/20/2014,-927357,-182599,18578,-115376,-592397,-1024618,0,-28008,-72533,-1091941,-150380
02/21/2014,-4602052,-1565421,-4689339,-3527876,-2052147,-656232,-5062747,-1912723,714704,3347967,1144664
02/24/2014,-488814,-439059,-536141,-82706,-161774,-264667,-33526,0,-47745,-351469,-400354
02/25/2014,278463,-94773,39677,623494,394797,1423330,2824485,0,96494,1978200,61948
02/26/2014,0,36844,0,0,174751,-36751,0,0,0,-117330,96784
02/27/2014,-222618,-173109,-167528,47211,-94029,-64110,0,0,0,-31338,-214827
03/03/2014,-300000,0,0,0,0,0,0,0,0,0,0
03/04/2014,-51674,0,-538606,0,0,0,0,0,0,0,0
03/05/2014,63999,0,34850,85450,40000,125780,-52475,41355,-313000,100925,-41650
